dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,1,1,"m0",5,1,0,2,2,1,1,1,1,2,1,4,1,4,6,4,2,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.8313358,0.16866419,1.0,1.0,0.08607737,3.538222,2.227418,0.08607737,0.45856494,0.13321158,0.14999138,0.08607737,0.08607737,0.08607737,3.538222,2.227418,NA,
33,1,2,"m0",2,0,1,2,1,1,2,2,1,2,1,4,1,4,6,4,1,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8909083,0.10909167,1.0,1.0,0.20386644,2.2943037,1.755823,0.004311496,0.41720933,0.20386644,0.33585212,0.03505794,0.0037027246,0.20386644,2.2943037,1.755823,0.6803667,
33,1,3,"m0",5,1,0,2,2,1,1,1,1,2,1,4,1,4,6,4,2,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,1,0,0.96051544,0.039484553,1.0,1.0,0.035464104,4.817497,1.5945096,0.003906767,0.6532667,0.06504591,0.035464104,0.10488213,0.13743433,0.035464104,4.817497,1.5945096,1.0812811,
33,1,4,"m0",4,1,0,1,1,1,1,1,1,1,1,4,1,4,5,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,1,0,0.9589633,0.041036747,1.0,1.0,0.6357868,0.6533851,1.6624128,0.003403836,0.6357868,0.04302636,0.09093783,0.09787534,0.1289699,0.6357868,0.6533851,1.6624128,0.04000858,
33,1,5,"m0",3,1,0,1,1,1,1,1,1,1,1,4,1,4,4,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,1,0,0.92025405,0.07974591,1.0,1.0,0.5515069,0.85854924,1.8737819,0.0011812529,0.5515069,0.13901146,0.14551315,0.08761364,0.07517353,0.5515069,0.85854924,1.8737819,0.11724044,
33,1,6,"m0",2,1,0,1,1,1,1,1,1,1,1,4,1,2,3,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,1,1,0.8513975,0.14860255,1.0,1.0,0.56626856,0.82044166,1.8424237,0.0016371512,0.56626856,0.13485414,0.14067939,0.083816506,0.07274431,0.56626856,0.82044166,1.8424237,7.7139377e-4,
33,1,7,"m0",1,1,0,1,1,1,1,1,1,1,1,4,1,2,2,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,1,1,0.45538235,0.54461765,1.0,1.0,0.64331627,0.6363999,1.6807986,0.010307814,0.64331627,0.109106295,0.1116023,0.06521328,0.06045407,0.64331627,0.6363999,1.6807986,0.029420253,
33,1,8,"m0",0,1,0,1,1,2,2,1,1,1,2,4,1,2,1,4,2,1,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,1,1,0.22412823,0.7758718,1.0,1.0,0.7130695,0.48788542,1.4979403,0.025879474,0.7130695,0.082657285,0.08358262,0.04828948,0.04652161,0.7130695,0.48788542,1.4979403,0.032131452,
33,1,9,"m0",1,1,0,2,1,1,2,2,1,2,1,4,1,2,1,4,3,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,1,1,0.10427415,0.89572585,1.0,0.99999994,0.06399518,3.9658928,1.3297076,0.037090845,0.7623692,0.063664585,0.06399518,0.0367562,0.036123905,0.06399518,3.9658928,1.3297076,0.017111247,
33,1,10,"m0",0,1,0,2,1,1,2,2,1,2,5,4,1,1,1,3,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,216,1,1,0.91898656,0.081013426,0.99999994,1.0,0.64786947,0.6262249,1.6347653,0.0038122535,0.64786947,0.04335297,0.09178253,0.09258243,0.12060041,0.64786947,0.6262249,1.6347653,0.19092445,
