dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,1,1,"m0",5,1,0,2,2,1,1,1,1,2,1,4,1,4,6,4,2,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.8313358,0.16866419,1.0,1.0,0.08607737,3.538222,2.227418,0.08607737,0.45856494,0.13321158,0.14999138,0.08607737,0.08607737,0.08607737,3.538222,2.227418,NA,
33,1,2,"m0",2,0,1,2,1,1,2,2,1,2,1,4,1,4,6,4,1,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8909083,0.10909167,1.0,1.0,0.20386644,2.2943037,1.755823,0.004311496,0.41720933,0.20386644,0.33585212,0.03505794,0.0037027246,0.20386644,2.2943037,1.755823,0.6803667,
33,1,3,"m0",5,1,0,2,2,1,1,1,1,2,1,4,1,4,6,4,2,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,2,0,0.9553635,0.044636503,1.0,1.0,0.14460595,2.7898014,1.6216477,6.3515274e-4,0.6257501,0.1300202,0.14460595,0.07718234,0.021806184,0.14460595,2.7898014,1.6216477,0.2591178,
33,1,4,"m0",4,1,0,1,1,1,1,1,1,1,1,4,1,4,5,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,3,0,0.9980297,0.0019703414,1.0,1.0,0.8180671,0.28970897,1.0321912,0.0011164829,0.8180671,0.015649684,0.05548693,0.059220057,0.050459754,0.8180671,0.28970897,1.0321912,0.35763425,
33,1,5,"m0",3,1,0,1,1,1,1,1,1,1,1,4,1,4,4,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,4,0,0.9996539,3.4618753e-4,0.99999994,1.0,0.85992783,0.21771249,0.8188925,0.0011162612,0.85992783,0.0152679905,0.039261766,0.07377609,0.01025882,0.85992783,0.21771249,0.8188925,0.06654243,
33,1,6,"m0",2,1,0,1,1,1,1,1,1,1,1,4,1,2,3,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,5,1,0.94929564,0.050704338,1.0,1.0,0.63656944,0.6516102,1.5484625,0.003266319,0.63656944,0.04403256,0.21110415,0.073037945,0.031989727,0.63656944,0.6516102,1.5484625,0.2370206,
33,1,7,"m0",1,1,0,1,1,1,1,1,1,1,1,4,1,2,2,4,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,6,1,0.5626886,0.43731135,1.0,1.0,0.6564138,0.6073226,1.6615764,0.015866918,0.6564138,0.06686867,0.100271225,0.10356764,0.057011746,0.6564138,0.6073226,1.6615764,0.10108574,
33,1,8,"m0",0,1,0,1,1,2,2,1,1,1,2,4,1,2,1,4,2,1,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,7,1,0.65994173,0.3400582,0.99999994,1.0,0.34393308,1.5398002,1.8772457,0.015458377,0.34393308,0.088589445,0.44816875,0.027528815,0.076321594,0.34393308,1.5398002,1.8772457,0.5429366,
33,1,9,"m0",1,1,0,2,1,1,2,2,1,2,1,4,1,2,1,4,3,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,7,1,0.5420749,0.45792514,1.0,0.99999994,0.43422484,1.2034858,2.0274758,0.009648744,0.22338037,0.17697096,0.43422484,0.02427327,0.13150191,0.43422484,1.2034858,2.0274758,0.101742014,
33,1,10,"m0",0,1,0,2,1,1,2,2,1,2,5,4,1,1,1,3,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,216,9,1,0.95566535,0.044334743,1.0,1.0,0.6906552,0.5339625,1.4830753,0.01304173,0.6906552,0.026383052,0.037341263,0.13592112,0.09665764,0.6906552,0.5339625,1.4830753,1.6530294,
